Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 6136.638010253906
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1680.8992663574218
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1558.6827478027344
Epoch 1/100 : 0% | Batch 200(2) : 0% | Loss 1397.2575744628907
Epoch 1/100 : 0% | Batch 250(2) : 0% | Loss 1330.2506225585937
Epoch 1/100 : 0% | Batch 300(2) : 0% | Loss 1274.0823999023437
Epoch 1/100 : 0% | Batch 350(2) : 0% | Loss 1057.1032214355469
Epoch 1/100 : 0% | Batch 400(2) : 0% | Loss 1083.5207446289062
Epoch 1/100 : 0% | Batch 450(2) : 0% | Loss 1059.701339111328
Epoch 1/100 : 0% | Batch 500(2) : 0% | Loss 997.3806481933593
Epoch 1/100 : 0% | Batch 550(2) : 0% | Loss 966.9063586425781
Epoch 1/100 : 0% | Batch 600(2) : 0% | Loss 920.8566259765626
Epoch 1/100 : 0% | Batch 650(2) : 0% | Loss 881.8783325195312
Epoch 1/100 : 0% | Batch 700(2) : 1% | Loss 892.942216796875
Epoch 1/100 : 0% | Batch 750(2) : 1% | Loss 950.2876428222656
Epoch 1/100 : 0% | Batch 800(2) : 1% | Loss 878.8533532714844
Epoch 1/100 : 0% | Batch 850(2) : 1% | Loss 836.2864892578125
Epoch 1/100 : 0% | Batch 900(2) : 1% | Loss 777.1451684570312
Epoch 1/100 : 0% | Batch 950(2) : 1% | Loss 719.1153125
Epoch 1/100 : 0% | Batch 1000(2) : 1% | Loss 753.6422790527344
Epoch 1/100 : 0% | Batch 1050(2) : 1% | Loss 757.4058239746093
Epoch 1/100 : 0% | Batch 1100(2) : 1% | Loss 706.1038800048829
Epoch 1/100 : 0% | Batch 1150(2) : 1% | Loss 709.0211895751953
Epoch 1/100 : 0% | Batch 1200(2) : 1% | Loss 718.7598571777344
Epoch 1/100 : 0% | Batch 1250(2) : 1% | Loss 691.9498498535156
Epoch 1/100 : 0% | Batch 1300(2) : 1% | Loss 663.3855505371093
Epoch 1/100 : 0% | Batch 1350(2) : 2% | Loss 670.8355584716796
Epoch 1/100 : 0% | Batch 1400(2) : 2% | Loss 640.8701867675782
Epoch 1/100 : 0% | Batch 1450(2) : 2% | Loss 620.0729272460937
Epoch 1/100 : 0% | Batch 1500(2) : 2% | Loss 616.0085443115235
Epoch 1/100 : 0% | Batch 1550(2) : 2% | Loss 592.2583856201172
Epoch 1/100 : 0% | Batch 1600(2) : 2% | Loss 584.5092297363282
Epoch 1/100 : 0% | Batch 1650(2) : 2% | Loss 661.9128002929688
Epoch 1/100 : 0% | Batch 1700(2) : 2% | Loss 594.5095428466797
Epoch 1/100 : 0% | Batch 1750(2) : 2% | Loss 561.8598596191406
Epoch 1/100 : 0% | Batch 1800(2) : 2% | Loss 544.6828649902344
Epoch 1/100 : 0% | Batch 1850(2) : 2% | Loss 626.4794329833984
Epoch 1/100 : 0% | Batch 1900(2) : 2% | Loss 558.4385833740234
Epoch 1/100 : 0% | Batch 1950(2) : 2% | Loss 558.1767956542968
Epoch 1/100 : 0% | Batch 2000(2) : 3% | Loss 545.2764099121093
Epoch 1/100 : 0% | Batch 2050(2) : 3% | Loss 593.778427734375
Epoch 1/100 : 0% | Batch 2100(2) : 3% | Loss 565.6732507324218
Epoch 1/100 : 0% | Batch 2150(2) : 3% | Loss 560.4546911621094
Epoch 1/100 : 0% | Batch 2200(2) : 3% | Loss 520.5427917480469
Epoch 1/100 : 0% | Batch 2250(2) : 3% | Loss 529.459848022461
Epoch 1/100 : 0% | Batch 2300(2) : 3% | Loss 524.2448352050782
Epoch 1/100 : 0% | Batch 2350(2) : 3% | Loss 527.9713317871094
Epoch 1/100 : 0% | Batch 2400(2) : 3% | Loss 577.9884753417969
Epoch 1/100 : 0% | Batch 2450(2) : 3% | Loss 537.3497100830078
Epoch 1/100 : 0% | Batch 2500(2) : 3% | Loss 571.1968048095703
Epoch 1/100 : 0% | Batch 2550(2) : 3% | Loss 523.5503204345703
Epoch 1/100 : 0% | Batch 2600(2) : 4% | Loss 532.4593212890625
Epoch 1/100 : 0% | Batch 2650(2) : 4% | Loss 574.1910559082031
Epoch 1/100 : 0% | Batch 2700(2) : 4% | Loss 508.1437469482422
Epoch 1/100 : 0% | Batch 2750(2) : 4% | Loss 530.81171875
Epoch 1/100 : 0% | Batch 2800(2) : 4% | Loss 527.8463806152344
Epoch 1/100 : 0% | Batch 2850(2) : 4% | Loss 516.2424169921875
Epoch 1/100 : 0% | Batch 2900(2) : 4% | Loss 502.42380493164063
Epoch 1/100 : 0% | Batch 2950(2) : 4% | Loss 501.82450805664064
Epoch 1/100 : 0% | Batch 3000(2) : 4% | Loss 472.36212890625
Epoch 1/100 : 0% | Batch 3050(2) : 4% | Loss 517.37611328125
Epoch 1/100 : 0% | Batch 3100(2) : 4% | Loss 507.6341223144531
Epoch 1/100 : 0% | Batch 3150(2) : 4% | Loss 516.7516479492188
Epoch 1/100 : 0% | Batch 3200(2) : 4% | Loss 510.6803924560547
Epoch 1/100 : 0% | Batch 3250(2) : 5% | Loss 481.33429931640626
Epoch 1/100 : 0% | Batch 3300(2) : 5% | Loss 543.7221929931641
Epoch 1/100 : 0% | Batch 3350(2) : 5% | Loss 505.92248596191405
Epoch 1/100 : 0% | Batch 3400(2) : 5% | Loss 471.61116271972656
Epoch 1/100 : 0% | Batch 3450(2) : 5% | Loss 500.83654724121095
Epoch 1/100 : 0% | Batch 3500(2) : 5% | Loss 478.9019836425781
Epoch 1/100 : 0% | Batch 3550(2) : 5% | Loss 473.14186767578127
Epoch 1/100 : 0% | Batch 3600(2) : 5% | Loss 481.9318499755859
Epoch 1/100 : 0% | Batch 3650(2) : 5% | Loss 505.1508837890625
Epoch 1/100 : 0% | Batch 3700(2) : 5% | Loss 470.23148864746094
Epoch 1/100 : 0% | Batch 3750(2) : 5% | Loss 488.9549530029297
Epoch 1/100 : 0% | Batch 3800(2) : 5% | Loss 493.4350714111328
Epoch 1/100 : 0% | Batch 3850(2) : 5% | Loss 474.3338781738281
Epoch 1/100 : 0% | Batch 3900(2) : 6% | Loss 470.8418719482422
Epoch 1/100 : 0% | Batch 3950(2) : 6% | Loss 533.061255493164
Epoch 1/100 : 0% | Batch 4000(2) : 6% | Loss 488.0484844970703
Epoch 1/100 : 0% | Batch 4050(2) : 6% | Loss 478.22402099609377
Epoch 1/100 : 0% | Batch 4100(2) : 6% | Loss 484.13007263183596
Epoch 1/100 : 0% | Batch 4150(2) : 6% | Loss 470.2777911376953
Epoch 1/100 : 0% | Batch 4200(2) : 6% | Loss 461.7567419433594
Epoch 1/100 : 0% | Batch 4250(2) : 6% | Loss 478.74165100097656
Epoch 1/100 : 0% | Batch 4300(2) : 6% | Loss 488.07851135253907
Epoch 1/100 : 0% | Batch 4350(2) : 6% | Loss 443.3203869628906
Epoch 1/100 : 0% | Batch 4400(2) : 6% | Loss 492.93143798828123
Epoch 1/100 : 0% | Batch 4450(2) : 6% | Loss 477.83031188964844
Epoch 1/100 : 0% | Batch 4500(2) : 6% | Loss 469.74134033203126
Epoch 1/100 : 0% | Batch 4550(2) : 7% | Loss 472.77515014648435
Epoch 1/100 : 0% | Batch 4600(2) : 7% | Loss 455.3075848388672
Epoch 1/100 : 0% | Batch 4650(2) : 7% | Loss 461.13618103027346
Epoch 1/100 : 0% | Batch 4700(2) : 7% | Loss 431.8385772705078
Epoch 1/100 : 0% | Batch 4750(2) : 7% | Loss 443.24061462402346
Epoch 1/100 : 0% | Batch 4800(2) : 7% | Loss 461.61241149902344
Epoch 1/100 : 0% | Batch 4850(2) : 7% | Loss 492.93681884765624
Epoch 1/100 : 0% | Batch 4900(2) : 7% | Loss 465.3453558349609
Epoch 1/100 : 0% | Batch 4950(2) : 7% | Loss 493.43482482910156
Epoch 1/100 : 0% | Batch 5000(2) : 7% | Loss 440.4564776611328
Epoch 1/100 : 0% | Batch 5050(2) : 7% | Loss 433.57823791503904
Epoch 1/100 : 0% | Batch 5100(2) : 7% | Loss 461.3087982177734
Epoch 1/100 : 0% | Batch 5150(2) : 7% | Loss 415.2374911499023
Epoch 1/100 : 0% | Batch 5200(2) : 8% | Loss 440.13176330566404
Epoch 1/100 : 0% | Batch 5250(2) : 8% | Loss 427.8522930908203
Epoch 1/100 : 0% | Batch 5300(2) : 8% | Loss 431.9368865966797
Epoch 1/100 : 0% | Batch 5350(2) : 8% | Loss 433.5440417480469
Epoch 1/100 : 0% | Batch 5400(2) : 8% | Loss 436.1744842529297
Epoch 1/100 : 0% | Batch 5450(2) : 8% | Loss 434.17466796875
Epoch 1/100 : 0% | Batch 5500(2) : 8% | Loss 444.32146606445315
Epoch 1/100 : 0% | Batch 5550(2) : 8% | Loss 454.47297119140626
Epoch 1/100 : 0% | Batch 5600(2) : 8% | Loss 437.9730889892578
Epoch 1/100 : 0% | Batch 5650(2) : 8% | Loss 470.60139892578127
Epoch 1/100 : 0% | Batch 5700(2) : 8% | Loss 454.41163513183596
Epoch 1/100 : 0% | Batch 5750(2) : 8% | Loss 481.2046105957031
Epoch 1/100 : 0% | Batch 5800(2) : 8% | Loss 430.63793090820315
Epoch 1/100 : 0% | Batch 5850(2) : 9% | Loss 414.521467590332
Epoch 1/100 : 0% | Batch 5900(2) : 9% | Loss 469.67802001953123
Epoch 1/100 : 0% | Batch 5950(2) : 9% | Loss 412.4902569580078
Epoch 1/100 : 0% | Batch 6000(2) : 9% | Loss 423.6098858642578
Epoch 1/100 : 0% | Batch 6050(2) : 9% | Loss 438.54857177734374
Epoch 1/100 : 0% | Batch 6100(2) : 9% | Loss 410.927724609375
Epoch 1/100 : 0% | Batch 6150(2) : 9% | Loss 403.33079040527343
Epoch 1/100 : 0% | Batch 6200(2) : 9% | Loss 436.2805938720703
