Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 4829.391462402344
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1527.9547448730468
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1476.6229907226561
Epoch 1/100 : 0% | Batch 200(2) : 0% | Loss 1283.8936486816406
Epoch 1/100 : 0% | Batch 250(2) : 0% | Loss 1157.3928637695312
Epoch 1/100 : 0% | Batch 300(2) : 0% | Loss 1046.6415698242188
Epoch 1/100 : 0% | Batch 350(2) : 0% | Loss 898.7917626953125
Epoch 1/100 : 0% | Batch 400(2) : 0% | Loss 931.6435107421875
Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 4832.790126953125
Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 5103.260441894531
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1479.5098901367187
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1397.2184533691407
Epoch 1/100 : 0% | Batch 200(2) : 0% | Loss 1176.8264013671876
Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 5123.362490234375
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1531.7562182617187
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1447.4021643066405
Epoch 1/100 : 0% | Batch 200(2) : 0% | Loss 1262.2229272460938
Epoch 1/100 : 0% | Batch 250(2) : 0% | Loss 1227.3316394042968
Epoch 1/100 : 0% | Batch 300(2) : 0% | Loss 1141.2513598632813
Epoch 1/100 : 0% | Batch 350(2) : 0% | Loss 978.9130541992188
Epoch 1/100 : 0% | Batch 400(2) : 0% | Loss 946.0322924804688
Epoch 1/100 : 0% | Batch 450(2) : 0% | Loss 923.6076977539062
Epoch 1/100 : 0% | Batch 500(2) : 0% | Loss 885.6394201660156
Epoch 1/100 : 0% | Batch 550(2) : 0% | Loss 785.1891442871093
Epoch 1/100 : 0% | Batch 600(2) : 0% | Loss 796.3692114257813
Epoch 1/100 : 0% | Batch 650(2) : 0% | Loss 744.503505859375
Epoch 1/100 : 0% | Batch 700(2) : 1% | Loss 758.2583679199219
Epoch 1/100 : 0% | Batch 750(2) : 1% | Loss 767.1549884033203
Epoch 1/100 : 0% | Batch 800(2) : 1% | Loss 725.0330096435547
Epoch 1/100 : 0% | Batch 850(2) : 1% | Loss 724.4428479003906
Epoch 1/100 : 0% | Batch 900(2) : 1% | Loss 742.8026751708984
Epoch 1/100 : 0% | Batch 950(2) : 1% | Loss 646.7382550048828
Epoch 1/100 : 0% | Batch 1000(2) : 1% | Loss 696.5831988525391
Epoch 1/100 : 0% | Batch 1050(2) : 1% | Loss 663.4359973144532
Epoch 1/100 : 0% | Batch 1100(2) : 1% | Loss 627.7517590332031
Epoch 1/100 : 0% | Batch 1150(2) : 1% | Loss 618.7065637207031
Epoch 1/100 : 0% | Batch 1200(2) : 1% | Loss 647.6018872070313
Epoch 1/100 : 0% | Batch 1250(2) : 1% | Loss 591.7214050292969
Epoch 1/100 : 0% | Batch 1300(2) : 1% | Loss 608.0745788574219
Epoch 1/100 : 0% | Batch 1350(2) : 2% | Loss 606.6745404052734
Epoch 1/100 : 0% | Batch 1400(2) : 2% | Loss 561.51927734375
Epoch 1/100 : 0% | Batch 1450(2) : 2% | Loss 558.9152447509765
Epoch 1/100 : 0% | Batch 1500(2) : 2% | Loss 544.2314874267578
Epoch 1/100 : 0% | Batch 1550(2) : 2% | Loss 514.3617535400391
Epoch 1/100 : 0% | Batch 1600(2) : 2% | Loss 504.42604248046877
Epoch 1/100 : 0% | Batch 1650(2) : 2% | Loss 556.5731719970703
Epoch 1/100 : 0% | Batch 1700(2) : 2% | Loss 532.0998181152344
Epoch 1/100 : 0% | Batch 1750(2) : 2% | Loss 524.7128100585937
Epoch 1/100 : 0% | Batch 1800(2) : 2% | Loss 502.3138916015625
Epoch 1/100 : 0% | Batch 1850(2) : 2% | Loss 595.4146533203125
Epoch 1/100 : 0% | Batch 1900(2) : 2% | Loss 498.32799072265624
Epoch 1/100 : 0% | Batch 1950(2) : 2% | Loss 496.7814630126953
Epoch 1/100 : 0% | Batch 2000(2) : 3% | Loss 516.1226794433594
Epoch 1/100 : 0% | Batch 2050(2) : 3% | Loss 513.3351672363282
Epoch 1/100 : 0% | Batch 2100(2) : 3% | Loss 523.481533203125
Epoch 1/100 : 0% | Batch 2150(2) : 3% | Loss 519.0722521972656
Epoch 1/100 : 0% | Batch 2200(2) : 3% | Loss 485.7380688476562
Epoch 1/100 : 0% | Batch 2250(2) : 3% | Loss 490.5067608642578
Epoch 1/100 : 0% | Batch 2300(2) : 3% | Loss 491.8280236816406
Epoch 1/100 : 0% | Batch 2350(2) : 3% | Loss 465.0829840087891
Epoch 1/100 : 0% | Batch 2400(2) : 3% | Loss 495.51369506835937
Epoch 1/100 : 0% | Batch 2450(2) : 3% | Loss 473.4033532714844
Epoch 1/100 : 0% | Batch 2500(2) : 3% | Loss 484.43102966308595
Epoch 1/100 : 0% | Batch 2550(2) : 3% | Loss 469.30787353515626
Epoch 1/100 : 0% | Batch 2600(2) : 4% | Loss 475.5022131347656
Epoch 1/100 : 0% | Batch 2650(2) : 4% | Loss 498.6417883300781
Epoch 1/100 : 0% | Batch 2700(2) : 4% | Loss 468.0601776123047
Epoch 1/100 : 0% | Batch 2750(2) : 4% | Loss 461.1852111816406
Epoch 1/100 : 0% | Batch 2800(2) : 4% | Loss 447.38233642578126
Epoch 1/100 : 0% | Batch 2850(2) : 4% | Loss 444.6484094238281
Epoch 1/100 : 0% | Batch 2900(2) : 4% | Loss 411.72261291503906
Epoch 1/100 : 0% | Batch 2950(2) : 4% | Loss 452.780615234375
Epoch 1/100 : 0% | Batch 3000(2) : 4% | Loss 410.90782836914065
Epoch 1/100 : 0% | Batch 3050(2) : 4% | Loss 445.7690997314453
Epoch 1/100 : 0% | Batch 3100(2) : 4% | Loss 484.78461486816406
Epoch 1/100 : 0% | Batch 3150(2) : 4% | Loss 444.3937878417969
Epoch 1/100 : 0% | Batch 3200(2) : 4% | Loss 437.10783721923826
Epoch 1/100 : 0% | Batch 3250(2) : 5% | Loss 403.39612670898435
Epoch 1/100 : 0% | Batch 3300(2) : 5% | Loss 474.50533081054687
Epoch 1/100 : 0% | Batch 3350(2) : 5% | Loss 434.57719787597654
Epoch 1/100 : 0% | Batch 3400(2) : 5% | Loss 409.22722564697267
Epoch 1/100 : 0% | Batch 3450(2) : 5% | Loss 438.8544024658203
Epoch 1/100 : 0% | Batch 3500(2) : 5% | Loss 402.5753448486328
Epoch 1/100 : 0% | Batch 3550(2) : 5% | Loss 413.2000036621094
Epoch 1/100 : 0% | Batch 3600(2) : 5% | Loss 429.756396484375
Epoch 1/100 : 0% | Batch 3650(2) : 5% | Loss 473.30784118652343
Epoch 1/100 : 0% | Batch 3700(2) : 5% | Loss 450.0673132324219
Epoch 1/100 : 0% | Batch 3750(2) : 5% | Loss 431.56872192382815
Epoch 1/100 : 0% | Batch 3800(2) : 5% | Loss 423.1815563964844
Epoch 1/100 : 0% | Batch 3850(2) : 5% | Loss 397.83473388671877
Epoch 1/100 : 0% | Batch 3900(2) : 6% | Loss 401.2726486206055
Epoch 1/100 : 0% | Batch 3950(2) : 6% | Loss 434.5257467651367
Epoch 1/100 : 0% | Batch 4000(2) : 6% | Loss 399.6828271484375
Epoch 1/100 : 0% | Batch 4050(2) : 6% | Loss 411.883173828125
Epoch 1/100 : 0% | Batch 4100(2) : 6% | Loss 414.7962280273438
Epoch 1/100 : 0% | Batch 4150(2) : 6% | Loss 396.9589367675781
Epoch 1/100 : 0% | Batch 4200(2) : 6% | Loss 384.626943359375
Epoch 1/100 : 0% | Batch 4250(2) : 6% | Loss 423.2082861328125
Epoch 1/100 : 0% | Batch 4300(2) : 6% | Loss 431.91755432128906
Epoch 1/100 : 0% | Batch 4350(2) : 6% | Loss 396.5133819580078
Epoch 1/100 : 0% | Batch 4400(2) : 6% | Loss 464.78296752929685
Epoch 1/100 : 0% | Batch 4450(2) : 6% | Loss 426.20017333984373
Epoch 1/100 : 0% | Batch 4500(2) : 6% | Loss 361.037451171875
Epoch 1/100 : 0% | Batch 4550(2) : 7% | Loss 369.4018557739258
Epoch 1/100 : 0% | Batch 4600(2) : 7% | Loss 388.91674072265624
Epoch 1/100 : 0% | Batch 4650(2) : 7% | Loss 403.99120849609375
Epoch 1/100 : 0% | Batch 4700(2) : 7% | Loss 397.97519836425784
Epoch 1/100 : 0% | Batch 4750(2) : 7% | Loss 524.9589495849609
Epoch 1/100 : 0% | Batch 4800(2) : 7% | Loss 425.37217407226564
Epoch 1/100 : 0% | Batch 4850(2) : 7% | Loss 406.527932434082
Epoch 1/100 : 0% | Batch 4900(2) : 7% | Loss 373.9097183227539
Epoch 1/100 : 0% | Batch 4950(2) : 7% | Loss 428.2274597167969
Epoch 1/100 : 0% | Batch 5000(2) : 7% | Loss 377.24580139160156
Epoch 1/100 : 0% | Batch 5050(2) : 7% | Loss 399.91942138671874
Epoch 1/100 : 0% | Batch 5100(2) : 7% | Loss 411.7152416992187
Epoch 1/100 : 0% | Batch 5150(2) : 7% | Loss 365.9331433105469
Epoch 1/100 : 0% | Batch 5200(2) : 8% | Loss 374.0593994140625
Epoch 1/100 : 0% | Batch 5250(2) : 8% | Loss 364.4953048706055
Epoch 1/100 : 0% | Batch 5300(2) : 8% | Loss 369.3902478027344
